sc_goal_min_dist,goal_spawn_clearance,bfs_clearance,inter_drone_min,spawn_mode,density,pct_all10_ok,avg_drone_ok,clean_drone_successes,total_clean_maps,total_discarded,total_fallbacks,avg_actual_density,avg_obs_count,infeasible,recommended_ceiling,ceiling_reason
5.0,1.5,0.4,0.5,scattered,0.3,72.0,9.64,482,50,0,0,0.30864737500000006,41.04,False,0.25,below_90pct
5.0,1.5,0.4,0.5,scattered,0.35,44.0,8.64,432,50,0,0,0.3557065,50.02,False,0.25,below_90pct
5.0,1.5,0.44999999999999996,0.2,clustered,0.1,100.0,10.0,500,50,0,0,0.11082175000000002,13.02,False,0.3,below_90pct
5.0,1.5,0.44999999999999996,0.2,clustered,0.15,100.0,10.0,500,50,0,0,0.15974862500000003,20.26,False,0.3,below_90pct
5.0,1.5,0.44999999999999996,0.2,clustered,0.2,98.0,9.98,499,50,0,0,0.21113912500000004,26.22,False,0.3,below_90pct
5.0,1.5,0.44999999999999996,0.2,clustered,0.25,96.0,9.78,489,50,0,0,0.25958062500000006,34.6,False,0.3,below_90pct
5.0,1.5,0.44999999999999996,0.2,clustered,0.3,92.0,9.38,469,50,0,0,0.30864737500000006,41.04,False,0.3,below_90pct
5.0,1.5,0.44999999999999996,0.2,clustered,0.35,80.0,8.0,400,50,0,0,0.3557065,50.02,False,0.3,below_90pct
5.0,1.5,0.44999999999999996,0.2,scattered,0.1,94.0,9.94,497,50,0,0,0.11082175000000002,13.02,False,0.1,below_90pct
5.0,1.5,0.44999999999999996,0.2,scattered,0.15,84.0,9.84,492,50,0,0,0.15974862500000003,20.26,False,0.1,below_90pct
5.0,1.5,0.44999999999999996,0.2,scattered,0.2,82.0,9.76,488,50,0,0,0.21113912500000004,26.22,False,0.1,below_90pct
5.0,1.5,0.44999999999999996,0.2,scattered,0.25,68.0,9.46,473,50,0,0,0.25958062500000006,34.6,False,0.1,below_90pct
5.0,1.5,0.44999999999999996,0.2,scattered,0.3,52.0,9.24,462,50,0,0,0.30864737500000006,41.04,False,0.1,below_90pct
5.0,1.5,0.44999999999999996,0.2,scattered,0.35,26.0,8.02,401,50,0,0,0.3557065,50.02,False,0.1,below_90pct
5.0,1.5,0.44999999999999996,0.35,clustered,0.1,100.0,10.0,500,50,0,0,0.11082175000000002,13.02,False,0.3,below_90pct
5.0,1.5,0.44999999999999996,0.35,clustered,0.15,100.0,10.0,500,50,0,0,0.15974862500000003,20.26,False,0.3,below_90pct
5.0,1.5,0.44999999999999996,0.35,clustered,0.2,98.0,9.98,499,50,0,0,0.21113912500000004,26.22,False,0.3,below_90pct
5.0,1.5,0.44999999999999996,0.35,clustered,0.25,96.0,9.78,489,50,0,0,0.25958062500000006,34.6,False,0.3,below_90pct
5.0,1.5,0.44999999999999996,0.35,clustered,0.3,92.0,9.38,469,50,0,0,0.30864737500000006,41.04,False,0.3,below_90pct
5.0,1.5,0.44999999999999996,0.35,clustered,0.35,80.0,8.0,400,50,0,0,0.3557065,50.02,False,0.3,below_90pct
5.0,1.5,0.44999999999999996,0.35,scattered,0.1,94.0,9.94,497,50,0,0,0.11082175000000002,13.02,False,0.1,below_90pct
5.0,1.5,0.44999999999999996,0.35,scattered,0.15,84.0,9.84,492,50,0,0,0.15974862500000003,20.26,False,0.1,below_90pct
5.0,1.5,0.44999999999999996,0.35,scattered,0.2,82.0,9.76,488,50,0,0,0.21113912500000004,26.22,False,0.1,below_90pct
5.0,1.5,0.44999999999999996,0.35,scattered,0.25,68.0,9.46,473,50,0,0,0.25958062500000006,34.6,False,0.1,below_90pct
5.0,1.5,0.44999999999999996,0.35,scattered,0.3,52.0,9.22,461,50,0,0,0.30864737500000006,41.04,False,0.1,below_90pct
5.0,1.5,0.44999999999999996,0.35,scattered,0.35,24.0,8.02,401,50,0,0,0.3557065,50.02,False,0.1,below_90pct
5.0,1.5,0.44999999999999996,0.5,clustered,0.1,100.0,10.0,500,50,0,0,0.11082175000000002,13.02,False,0.3,below_90pct
5.0,1.5,0.44999999999999996,0.5,clustered,0.15,98.0,9.98,499,50,0,0,0.15974862500000003,20.26,False,0.3,below_90pct
5.0,1.5,0.44999999999999996,0.5,clustered,0.2,98.0,9.98,499,50,0,0,0.21113912500000004,26.22,False,0.3,below_90pct
5.0,1.5,0.44999999999999996,0.5,clustered,0.25,96.0,9.78,489,50,0,0,0.25958062500000006,34.6,False,0.3,below_90pct
5.0,1.5,0.44999999999999996,0.5,clustered,0.3,92.0,9.38,469,50,0,0,0.30864737500000006,41.04,False,0.3,below_90pct
5.0,1.5,0.44999999999999996,0.5,clustered,0.35,78.0,7.98,399,50,0,0,0.3557065,50.02,False,0.3,below_90pct
5.0,1.5,0.44999999999999996,0.5,scattered,0.1,94.0,9.94,497,50,0,0,0.11082175000000002,13.02,False,0.1,below_90pct
5.0,1.5,0.44999999999999996,0.5,scattered,0.15,84.0,9.84,492,50,0,0,0.15974862500000003,20.26,False,0.1,below_90pct
5.0,1.5,0.44999999999999996,0.5,scattered,0.2,82.0,9.76,488,50,0,0,0.21113912500000004,26.22,False,0.1,below_90pct
5.0,1.5,0.44999999999999996,0.5,scattered,0.25,68.0,9.46,473,50,0,0,0.25958062500000006,34.6,False,0.1,below_90pct
5.0,1.5,0.44999999999999996,0.5,scattered,0.3,52.0,9.22,461,50,0,0,0.30864737500000006,41.04,False,0.1,below_90pct
5.0,1.5,0.44999999999999996,0.5,scattered,0.35,24.0,8.04,402,50,0,0,0.3557065,50.02,False,0.1,below_90pct
5.0,1.5,0.5,0.2,clustered,0.1,100.0,10.0,500,50,0,0,0.11082175000000002,13.02,False,0.3,below_90pct
5.0,1.5,0.5,0.2,clustered,0.15,100.0,10.0,500,50,0,0,0.15974862500000003,20.26,False,0.3,below_90pct
5.0,1.5,0.5,0.2,clustered,0.2,98.0,9.98,499,50,0,0,0.21113912500000004,26.22,False,0.3,below_90pct
5.0,1.5,0.5,0.2,clustered,0.25,92.0,9.74,487,50,0,0,0.25958062500000006,34.6,False,0.3,below_90pct
5.0,1.5,0.5,0.2,clustered,0.3,90.0,9.18,459,50,0,0,0.30864737500000006,41.04,False,0.3,below_90pct
5.0,1.5,0.5,0.2,clustered,0.35,76.0,7.6,380,50,0,0,0.3557065,50.02,False,0.3,below_90pct
5.0,1.5,0.5,0.2,scattered,0.1,86.0,9.86,493,50,0,0,0.11082175000000002,13.02,False,NONE,below_90pct
5.0,1.5,0.5,0.2,scattered,0.15,72.0,9.7,485,50,0,0,0.15974862500000003,20.26,False,NONE,below_90pct
5.0,1.5,0.5,0.2,scattered,0.2,56.00000000000001,9.36,468,50,0,0,0.21113912500000004,26.22,False,NONE,below_90pct
5.0,1.5,0.5,0.2,scattered,0.25,50.0,9.12,456,50,0,0,0.25958062500000006,34.6,False,NONE,below_90pct
5.0,1.5,0.5,0.2,scattered,0.3,38.0,8.82,441,50,0,0,0.30864737500000006,41.04,False,NONE,below_90pct
5.0,1.5,0.5,0.2,scattered,0.35,16.0,7.58,379,50,0,0,0.3557065,50.02,False,NONE,below_90pct
5.0,1.5,0.5,0.35,clustered,0.1,100.0,10.0,500,50,0,0,0.11082175000000002,13.02,False,0.3,below_90pct
5.0,1.5,0.5,0.35,clustered,0.15,98.0,9.98,499,50,0,0,0.15974862500000003,20.26,False,0.3,below_90pct
5.0,1.5,0.5,0.35,clustered,0.2,98.0,9.98,499,50,0,0,0.21113912500000004,26.22,False,0.3,below_90pct
5.0,1.5,0.5,0.35,clustered,0.25,92.0,9.74,487,50,0,0,0.25958062500000006,34.6,False,0.3,below_90pct
5.0,1.5,0.5,0.35,clustered,0.3,90.0,9.18,459,50,0,0,0.30864737500000006,41.04,False,0.3,below_90pct
5.0,1.5,0.5,0.35,clustered,0.35,76.0,7.6,380,50,0,0,0.3557065,50.02,False,0.3,below_90pct
5.0,1.5,0.5,0.35,scattered,0.1,86.0,9.86,493,50,0,0,0.11082175000000002,13.02,False,NONE,below_90pct
5.0,1.5,0.5,0.35,scattered,0.15,72.0,9.7,485,50,0,0,0.15974862500000003,20.26,False,NONE,below_90pct
5.0,1.5,0.5,0.35,scattered,0.2,56.00000000000001,9.36,468,50,0,0,0.21113912500000004,26.22,False,NONE,below_90pct
5.0,1.5,0.5,0.35,scattered,0.25,48.0,9.1,455,50,0,0,0.25958062500000006,34.6,False,NONE,below_90pct
5.0,1.5,0.5,0.35,scattered,0.3,38.0,8.8,440,50,0,0,0.30864737500000006,41.04,False,NONE,below_90pct
5.0,1.5,0.5,0.35,scattered,0.35,12.0,7.56,378,50,0,0,0.3557065,50.02,False,NONE,below_90pct
5.0,1.5,0.5,0.5,clustered,0.1,100.0,10.0,500,50,0,0,0.11082175000000002,13.02,False,0.3,below_90pct
5.0,1.5,0.5,0.5,clustered,0.15,94.0,9.94,497,50,0,0,0.15974862500000003,20.26,False,0.3,below_90pct
